Product ID,SKU,Name,Description,Price,Original Price,Currency,In Stock,Stock Quantity,URL,Image URL,Category,Subcategory,Category Path,Brand,Manufacturer,Rating,Review Count,Source,Scraped At
,,A Light in the ...,,51.77,,GBP,Yes,,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,Tipping the Velvet,,53.74,,GBP,Yes,,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,Soumission,,50.1,,GBP,Yes,,https://books.toscrape.com/catalogue/soumission_998/index.html,media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,Sharp Objects,,47.82,,GBP,Yes,,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,Sapiens: A Brief History ...,,54.23,,GBP,Yes,,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,The Requiem Red,,22.65,,GBP,Yes,,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,The Dirty Little Secrets ...,,33.34,,GBP,Yes,,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,The Coming Woman: A ...,,17.93,,GBP,Yes,,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,The Boys in the ...,,22.6,,GBP,Yes,,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
,,The Black Maria,,52.15,,GBP,Yes,,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,,,,,,,,books.toscrape.com,2026-05-16T13:40:28
