Product ID,SKU,Name,Description,Price,Original Price,Currency,In Stock,Stock Quantity,URL,Image URL,Category,Subcategory,Category Path,Brand,Manufacturer,Rating,Review Count,Source,Scraped At
,,Men's Tree Runner NZ,,80.0,,GBP,Yes,,https://www.allbirds.com/products/mens-tree-runner-nz-thunder-green?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Thunder+Green+%28Natural+White+Sole%29%22%2C%22edition%22%3A%22Limited%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-tree-runner-nz-thunder-green%22%2C%22hue%22%3A%22Green%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA12096_25Q3_Tree_Runner_NZ_Thunder_Green_Natural_White_Sole_PDP_LEFT-2000x2000.png%3Fv%3D1751899846%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Tree+Runner+NZ%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A80%2C%22price_tier%22%3A%22tier-2%22%2C%22product_id%22%3A%227188363771984%22%2C%22silhouette%22%3A%22Runner%22%2C%22url%22%3A%22%2Fproducts%2Fmens-tree-runner-nz-thunder-green%22%2C%22position%22%3A%221%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A12096_25Q3_Tree_Runner_NZ_Thunder_Green_Natural_White_Sole_PDP_LEFT-2000x2000.png?v=1751899846&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Canvas Piper,,35.0,,GBP,Yes,,https://www.allbirds.com/products/mens-canvas-pipers-natural-black?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Natural+Black+%28Natural+Black+Sole%29%22%2C%22edition%22%3A%22Classic%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-canvas-pipers-natural-black%22%2C%22hue%22%3A%22Black%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11538_25Q1_Canvas_Piper_Natural_Black_Natural_Black_PDP_LEFT-2000x2000.png%3Fv%3D1751060324%22%2C%22material%22%3A%22Canvas%22%2C%22name%22%3A%22Men%27s+Canvas+Piper%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A35%2C%22price_tier%22%3A%22tier-4%22%2C%22product_id%22%3A%227132572516432%22%2C%22silhouette%22%3A%22Runner%22%2C%22url%22%3A%22%2Fproducts%2Fmens-canvas-pipers-natural-black%22%2C%22position%22%3A%222%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11538_25Q1_Canvas_Piper_Natural_Black_Natural_Black_PDP_LEFT-2000x2000.png?v=1751060324&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Tree Runner,,60.0,,GBP,Yes,,https://www.allbirds.com/products/mens-tree-runners-blizzard-hanami-night?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Blizzard%2FHanami+Night+%28Blizzard+Sole%29%22%2C%22edition%22%3A%22Limited%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-tree-runners-blizzard-hanami-night%22%2C%22hue%22%3A%22White%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11375_25Q3_Tree_Runner_Blizzard_Hanami_Night_Blizzard_PDP_LEFT-2000x2000.png%3Fv%3D1751059039%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Tree+Runner%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A60%2C%22price_tier%22%3A%22tier-3%22%2C%22product_id%22%3A%227091622707280%22%2C%22silhouette%22%3A%22Runner%22%2C%22url%22%3A%22%2Fproducts%2Fmens-tree-runners-blizzard-hanami-night%22%2C%22position%22%3A%223%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11375_25Q3_Tree_Runner_Blizzard_Hanami_Night_Blizzard_PDP_LEFT-2000x2000.png?v=1751059039&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Wool Strider,,78.0,,GBP,Yes,,https://www.allbirds.com/products/mens-wool-strider?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Dark+Grey+%28Light+Grey+Sole%29%22%2C%22edition%22%3A%22Classic%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-wool-strider%22%2C%22hue%22%3A%22Grey%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11679_25Q3_Wool-Strider-Dark-Grey-Light-Grey-Sole_PDP_LEFT__1.png%3Fv%3D1754504601%22%2C%22material%22%3A%22Wool%22%2C%22name%22%3A%22Men%27s+Wool+Strider%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A78%2C%22price_tier%22%3A%22tier-3%22%2C%22product_id%22%3A%227199656247376%22%2C%22silhouette%22%3A%22Dasher%22%2C%22url%22%3A%22%2Fproducts%2Fmens-wool-strider%22%2C%22position%22%3A%224%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11679_25Q3_Wool-Strider-Dark-Grey-Light-Grey-Sole_PDP_LEFT__1.png?v=1754504601&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Tree Glider,,70.0,,GBP,Yes,,https://www.allbirds.com/products/mens-tree-gliders-deep-navy?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Deep+Navy+%28Blizzard+Sole%29%22%2C%22edition%22%3A%22Classic%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-tree-gliders-deep-navy%22%2C%22hue%22%3A%22Blue%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11076_24Q4_Tree_Glider_Deep_Navy_Blizzard_PDP_LEFT-2000x2000.png%3Fv%3D1751047869%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Tree+Glider%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A70%2C%22price_tier%22%3A%22tier-4%22%2C%22product_id%22%3A%227082681073744%22%2C%22silhouette%22%3A%22Dasher%22%2C%22url%22%3A%22%2Fproducts%2Fmens-tree-gliders-deep-navy%22%2C%22position%22%3A%225%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11076_24Q4_Tree_Glider_Deep_Navy_Blizzard_PDP_LEFT-2000x2000.png?v=1751047869&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Dasher NZ,,99.0,,GBP,Yes,,https://www.allbirds.com/products/mens-dasher-nz-dark-eucalyptus?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Dark+Eucalyptus+%28Dark+Eucalyptus+Sole%29%22%2C%22edition%22%3A%22Limited%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-dasher-nz-dark-eucalyptus%22%2C%22hue%22%3A%22Grey%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA12487_26Q1_Dasher-NZ-Dark-Eucalyptus-Dark-Eucalyptus_PDP_LEFT.png%3Fv%3D1769559862%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Dasher+NZ%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A99%2C%22price_tier%22%3A%22tier-2%22%2C%22product_id%22%3A%227205201444944%22%2C%22silhouette%22%3A%22Dasher%22%2C%22url%22%3A%22%2Fproducts%2Fmens-dasher-nz-dark-eucalyptus%22%2C%22position%22%3A%226%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A12487_26Q1_Dasher-NZ-Dark-Eucalyptus-Dark-Eucalyptus_PDP_LEFT.png?v=1769559862&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Strider,,91.0,,GBP,Yes,,https://www.allbirds.com/products/mens-strider?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Blizzard+%28Blizzard+Sole%29%22%2C%22edition%22%3A%22Classic%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-strider%22%2C%22hue%22%3A%22White%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11646_25Q3_Strider-Blizzard-Blizzard-Sole_PDP_LEFT__1.png%3Fv%3D1754950934%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Strider%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A91%2C%22price_tier%22%3A%22tier-2%22%2C%22product_id%22%3A%227199672238160%22%2C%22silhouette%22%3A%22Dasher%22%2C%22url%22%3A%22%2Fproducts%2Fmens-strider%22%2C%22position%22%3A%227%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11646_25Q3_Strider-Blizzard-Blizzard-Sole_PDP_LEFT__1.png?v=1754950934&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Tree Dasher 2,,99.0,,GBP,Yes,,https://www.allbirds.com/products/mens-tree-dashers-blizzard?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Blizzard+%28Blizzard+Sole%29%22%2C%22edition%22%3A%22Classic%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-tree-dashers-blizzard%22%2C%22hue%22%3A%22White%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA10814_24Q2_Tree-Dasher-2-Blizzard-Blizzard-Blizzard_PDP_LEFT__1.png%3Fv%3D1750974801%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Tree+Dasher+2%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A99%2C%22price_tier%22%3A%22tier-2%22%2C%22product_id%22%3A%226884224073808%22%2C%22silhouette%22%3A%22Dasher%22%2C%22url%22%3A%22%2Fproducts%2Fmens-tree-dashers-blizzard%22%2C%22position%22%3A%228%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A10814_24Q2_Tree-Dasher-2-Blizzard-Blizzard-Blizzard_PDP_LEFT__1.png?v=1750974801&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Wool Cruiser Select,,84.0,,GBP,Yes,,https://www.allbirds.com/products/mens-wool-cruiser-select?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Natural+White%2FStony+Cream+%28Gum+Sole%29%22%2C%22edition%22%3A%22Limited%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-wool-cruiser-select%22%2C%22hue%22%3A%22White%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA11831_25Q4_Wool-Cruiser-Select-Natural-White-Stony-Cream-Gum-Sole_PDP_LEFT.png%3Fv%3D1761691843%22%2C%22material%22%3A%22Wool%22%2C%22name%22%3A%22Men%27s+Wool+Cruiser+Select%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A84%2C%22price_tier%22%3A%22tier-2%22%2C%22product_id%22%3A%227234395504720%22%2C%22silhouette%22%3A%22Runner%22%2C%22url%22%3A%22%2Fproducts%2Fmens-wool-cruiser-select%22%2C%22position%22%3A%229%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A11831_25Q4_Wool-Cruiser-Select-Natural-White-Stony-Cream-Gum-Sole_PDP_LEFT.png?v=1761691843&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
,,Men's Tree Runner Go,,60.0,,GBP,Yes,,https://www.allbirds.com/products/mens-tree-runner-go-stony-cream?sale=true&a_ajs_event=Product+Clicked&a_ajs_prop_currency=USD&a_ajs_prop_currency_symbol=%24&a_ajs_prop_collection_handle=sale-mens&a_ajs_prop_collection_name=Men%27s+Sale&a_ajs_prop_collection_parent=Home&a_ajs_prop_collection_style_count=1&a_ajs_prop_collection_type=PARENT_COLLECTION&a_ajs_prop_collection_url=https%3A%2F%2Fwww.allbirds.com%2Fcollections%2Fsale-mens&a_ajs_prop_list_id=274499174480&a_ajs_prop_is_markdown_collection=true&a_ajs_prop_products=a_ajs_prop_type_object%5B%7B%22category%22%3A%22Shoes%22%2C%22color_name%22%3A%22Stony+Cream+%28Stony+Cream+Sole%29%22%2C%22edition%22%3A%22Limited%22%2C%22gender%22%3A%22Mens%22%2C%22handle%22%3A%22mens-tree-runner-go-stony-cream%22%2C%22hue%22%3A%22Beige%22%2C%22image_url%22%3A%22%2F%2Fwww.allbirds.com%2Fcdn%2Fshop%2Ffiles%2FA10962_24Q4_Tree_Runner_Go_Stony_Cream_Stony_Cream_PDP_LEFT-2000x2000.png%3Fv%3D1751060839%22%2C%22material%22%3A%22Tree%22%2C%22name%22%3A%22Men%27s+Tree+Runner+Go%22%2C%22on_sale%22%3Atrue%2C%22price%22%3A60%2C%22price_tier%22%3A%22tier-4%22%2C%22product_id%22%3A%226962252972112%22%2C%22silhouette%22%3A%22Runner%22%2C%22url%22%3A%22%2Fproducts%2Fmens-tree-runner-go-stony-cream%22%2C%22position%22%3A%2210%22%7D%5D,https://www.allbirds.com/cdn/shop/files/A10962_24Q4_Tree_Runner_Go_Stony_Cream_Stony_Cream_PDP_LEFT-2000x2000.png?v=1751060839&width=1024,,,,,,,,www.allbirds.com,2026-05-17T14:30:20
